group,relation,measure,bin,lo,hi,n,n_filtered,filtered_rate,dAP,dAP_lo,dAP_hi,dAUC,dAUC_lo,dAUC_hi
high,rur,down,4,1.32409972299169,4.0,923,67,0.07258938244853738,0.01587754008836776,-0.05976924775569796,0.08007266657689674,-0.0041881712930673665,-0.046962572615149176,0.03145882667056522
high,rur,up,1,0.0008833922261484162,0.21363040629095664,1193,73,0.06119027661357921,0.049444175225393225,-0.005523282108699992,0.11474404760203706,0.024704011741682998,-0.001116241409595552,0.05658954522667886
high,rur,up,2,0.21391076115485586,0.6692913385826773,1193,95,0.07963118189438391,0.04934778425536829,-0.009705815452500958,0.11200685144339458,0.01833573003547122,-0.002467811710171408,0.042600117458252214
high,rur,up,3,0.6699999999999999,0.984257871064468,1193,99,0.08298407376362113,0.03958471023855179,-0.020980520475067526,0.09576306465679418,0.006612745369600948,-0.016311983970009238,0.028110839270503462
high,rur,up,4,0.984375,2.7,1193,93,0.07795473595976529,0.10382618498971807,0.03135605395753781,0.17329120324219902,0.01741739980449659,-0.010456694493945332,0.04512690391503686
high,rsr,burst,1,2.0242359422445266e-09,0.17479005181585616,2199,139,0.06321055025011368,-0.005374363901459256,-0.038189473739177415,0.02496782559961354,-0.004035761681916594,-0.016031999808621508,0.006863927805326643
high,rsr,burst,2,0.17504493432022886,0.40473913794524485,2199,139,0.06321055025011368,-0.004302369696509806,-0.033187964956408744,0.02347126908335707,-0.004822937766291812,-0.016682442696221992,0.008115516164002433
high,rsr,burst,3,0.40473913794524485,0.7922117825466931,2199,140,0.06366530241018645,-0.009371811345753822,-0.03948087158788645,0.02316204494922153,-0.004306528828141243,-0.017678446588959434,0.009390237767620609
high,rsr,burst,4,0.7922117825466931,19.622094320584768,2199,210,0.09549795361527967,-0.03419384829205306,-0.0652247612637925,-0.000695470850004879,-0.00450717038952333,-0.01539157876795861,0.005820255235284964
high,rsr,absdev,1,0.0,0.2241379310344831,2123,132,0.06217616580310881,-0.025777447719299313,-0.0629144410258354,0.007598216703922379,-0.009079494087027995,-0.022605790959468065,0.005448285854980539
high,rsr,absdev,2,0.2245879120879124,0.686157517899761,2122,171,0.08058435438265787,0.012387082856006459,-0.02017081413870677,0.04626208220223119,0.002281031469841532,-0.006548862044034623,0.011846392606687845
high,rsr,absdev,3,0.6861924686192467,1.065040650406504,2122,144,0.06786050895381715,-0.03593614036931828,-0.07863146504432558,-0.0028511355341358327,-0.012421357150881973,-0.02508778692654915,-0.0020789888443967387
high,rsr,absdev,4,1.0652173913043477,4.0,2122,159,0.07492931196983978,0.011357124685862618,-0.01522826002731314,0.042076356673434845,-0.002225447508466383,-0.016544001313781715,0.011488024703020594
high,rsr,down,1,0.002664298401421128,0.2608695652173916,923,59,0.06392199349945829,-0.05520983110114673,-0.12742313247151923,-0.0035543797853993192,-0.017631826741996214,-0.03927117982459298,0.006641245099785605
high,rsr,down,2,0.2609400324149105,0.7552552552552552,922,76,0.0824295010845987,-0.012734158177342058,-0.05673175642051044,0.04623539252022535,-0.002535149931566516,-0.012372912594666734,0.009645789154278264
high,rsr,down,3,0.7556270096463025,1.3210382513661205,922,41,0.044468546637744036,-0.0334109597610119,-0.10660772417260417,0.04693287688704927,-0.0047894576562110824,-0.022237590110188842,0.010498365494066153
high,rsr,down,4,1.32409972299169,4.0,923,67,0.07258938244853738,0.012930640112528447,-0.027594103678393586,0.06282488390193347,-0.010360580276189113,-0.03232522187840539,0.011887922933812614
high,rsr,up,1,0.0008833922261484162,0.21363040629095664,1193,73,0.06119027661357921,-0.009658229057485469,-0.043813788730586556,0.036529567791739444,-0.0037915851272015467,-0.021376941215907604,0.01611429777306272
high,rsr,up,2,0.21391076115485586,0.6692913385826773,1193,95,0.07963118189438391,0.023677962497062322,-0.01933806019037105,0.06544481180393467,0.007011791774518295,-0.008681066754758335,0.023146493519325677
high,rsr,up,3,0.6699999999999999,0.984257871064468,1193,99,0.08298407376362113,-0.013142031158698109,-0.0630754414328123,0.023410026172013283,-0.004810444481376841,-0.0215448890049479,0.006703286194318633
high,rsr,up,4,0.984375,2.7,1193,93,0.07795473595976529,-0.009847839039608041,-0.04494756499999224,0.02945155261249037,-0.0048954056695991845,-0.023996751482997077,0.014167976499695093
high,rtr,burst,1,2.0242359422445266e-09,0.17479005181585616,2199,139,0.06321055025011368,-0.014205777048985513,-0.052412092931134614,0.01988428271485526,-0.007075504644827824,-0.019220250812325163,0.0037294170935216987
high,rtr,burst,2,0.17504493432022886,0.40473913794524485,2199,139,0.06321055025011368,-0.0051034675906746815,-0.03517964061695925,0.024521270098508477,-0.005122581546413385,-0.017408518807239634,0.007026695463826309
high,rtr,burst,3,0.40473913794524485,0.7922117825466931,2199,140,0.06366530241018645,-0.02632649928922793,-0.05780960823878621,0.0019477743541527672,-0.005289669048775392,-0.017047543795060405,0.007627716362748756
high,rtr,burst,4,0.7922117825466931,19.622094320584768,2199,210,0.09549795361527967,-0.019025486462199415,-0.04925693314935085,0.014642762058835941,-0.012516459575283112,-0.023354981785094094,-0.0014018745602194758
high,rtr,absdev,1,0.0,0.2241379310344831,2123,132,0.06217616580310881,-0.035969398603243705,-0.07089864775859676,-0.004814580724964821,-0.015301432202486965,-0.029514314105934247,-0.0013374192431517373
high,rtr,absdev,2,0.2245879120879124,0.686157517899761,2122,171,0.08058435438265787,0.015822573419684526,-0.015423116006815939,0.05489134961822989,-0.006061369038519793,-0.016969396147386254,0.0034653361353910446
high,rtr,absdev,3,0.6861924686192467,1.065040650406504,2122,144,0.06786050895381715,-0.03565797188463825,-0.07991634290916395,0.004162121118974259,-0.007714723064824213,-0.020643697083264842,0.003941550256370819
high,rtr,absdev,4,1.0652173913043477,4.0,2122,159,0.07492931196983978,-0.005424607745218102,-0.038393947381009146,0.026068996102376903,-0.0004235591140502093,-0.012897886936423028,0.011447335541317927
high,rtr,down,1,0.002664298401421128,0.2608695652173916,923,59,0.06392199349945829,-0.065937818974075,-0.13478888869356087,-0.018439718413988285,-0.026761613308223443,-0.047699061225870865,-0.004784140576814122
high,rtr,down,2,0.2609400324149105,0.7552552552552552,922,76,0.0824295010845987,-0.011197753741306382,-0.04824138197531553,0.052795677999696235,-0.010156152793330864,-0.02098193513626939,0.000604978282906348
high,rtr,down,3,0.7556270096463025,1.3210382513661205,922,41,0.044468546637744036,-0.018484959358694007,-0.09507995569977636,0.04537739823651098,0.003443979956258114,-0.008864228892380477,0.01661631260817735
high,rtr,down,4,1.32409972299169,4.0,923,67,0.07258938244853738,0.012951719663002858,-0.0361838850418682,0.06018113718836293,0.007678895243409145,-0.008694563857514662,0.024226245377405278
high,rtr,up,1,0.0008833922261484162,0.21363040629095664,1193,73,0.06119027661357921,-0.02092580313216528,-0.05267452417858848,0.014849448269635029,-0.008679060665362037,-0.027310392226161537,0.009386858934443791
high,rtr,up,2,0.21391076115485586,0.6692913385826773,1193,95,0.07963118189438391,0.03057435291667897,-0.019120724502473697,0.07320013865404229,-0.0011504170261719571,-0.01790625787626085,0.014979919319048162
high,rtr,up,3,0.6699999999999999,0.984257871064468,1193,99,0.08298407376362113,-0.017855867330354547,-0.07440642970333547,0.028049427990753443,-0.004945247724041124,-0.0232258878816598,0.010925795115207719
high,rtr,up,4,0.984375,2.7,1193,93,0.07795473595976529,-0.032033781878064806,-0.07076692403235361,0.006990355584053178,-0.014269794721407613,-0.03442577391361119,0.006567332424456673
